Tanggal;Tn;Tx;Tavg;RH_avg;ss;ff_x;ff_avg
21/01/2022;22.5;32.5;26.9;85;7;7;2
22/01/2022;23.6;31.2;25.8;91;6.4;4;0
23/01/2022;23.1;32.3;26.1;90;2.6;7;1
24/01/2022;23.2;34.2;26.3;90;5.3;5;1
25/01/2022;23.2;31.2;25.8;91;0;5;2
26/01/2022;22.4;30.5;25.3;88;2.4;4;1
27/01/2022;22.8;33.3;27.3;80;0.7;3;1
28/01/2022;23.2;32.8;27.1;82;7.8;3;0
29/01/2022;23.1;33.2;27.5;82;3.8;4;1
30/01/2022;24.3;34;28.2;81;5.4;9;2
31/01/2022;24.1;31.7;27.2;86;5.9;6;1
01/02/2022;24;29.4;25.7;95;4.3;5;1
02/02/2022;23.4;30.5;26.5;88;0.7;3;1
03/02/2022;23.8;33.3;27.7;82;2.2;5;2
04/02/2022;24;30.8;26.3;90;5.8;6;3
05/02/2022;22.4;29;25.1;92;5.6;3;1
06/02/2022;22;27.4;24;98;0.5;4;1
07/02/2022;22.5;33.6;27.4;77;0;6;2
08/02/2022;22.8;32.8;25.5;90;6.8;7;2
09/02/2022;23;32;25.5;92;4.6;4;1
10/02/2022;22;28.3;24.4;93;2.6;5;2
11/02/2022;22;31;25.7;87;0;8;2
12/02/2022;22.7;32.4;26.7;84;4.3;4;2
